School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
East Tennessee State,35,19,16,0.543,-3.11,-2.74,,8,10,,10,4,,5,11,,2502,2435,,68.8,100.7,0.364,0.382,0.529,48.2,47.3,9.8,9.2,0.495,16.9,29.2,0.251,2023-2024
East Texas A&M,33,13,20,0.394,-14.52,-5.19,,6,12,,8,7,,4,12,,2361,2462,,68.7,105.1,0.384,0.305,0.546,54.4,49.8,8.0,10.7,0.510,16.6,32.2,0.272,2023-2024
Eastern Illinois,32,14,18,0.438,-11.60,-6.50,,8,10,,9,6,,4,11,,2204,2172,,68.2,99.5,0.352,0.370,0.541,50.1,56.0,7.7,9.9,0.505,18.4,26.3,0.252,2023-2024
Eastern Kentucky,31,17,14,0.548,-5.42,-4.49,,12,4,,13,4,,4,10,,2504,2371,,71.8,106.0,0.288,0.341,0.526,47.7,48.5,9.9,6.1,0.491,13.4,30.8,0.214,2023-2024
Eastern Michigan,31,13,18,0.419,-12.76,-5.07,,6,12,,9,6,,4,11,,2047,2252,,66.4,108.2,0.308,0.391,0.540,51.4,50.5,10.0,7.9,0.513,13.7,30.8,0.213,2023-2024
Eastern Washington,32,21,11,0.656,-1.03,-2.99,,15,3,,11,1,,10,9,,2586,2407,,70.9,105.7,0.320,0.408,0.546,48.2,52.0,9.5,7.6,0.511,14.8,26.9,0.237,2023-2024
Elon,32,13,19,0.406,-11.43,-5.46,,6,12,,8,6,,3,12,,2339,2413,,68.0,110.9,0.282,0.407,0.553,51.0,54.8,9.0,9.5,0.526,14.0,32.4,0.201,2023-2024
Evansville,35,17,18,0.486,-3.69,0.75,,6,14,,10,5,,4,11,,2481,2562,,69.6,104.4,0.277,0.433,0.546,51.4,54.4,9.2,7.7,0.516,15.3,25.9,0.204,2023-2024
Fairfield,37,24,13,0.649,-3.17,-6.53,,14,6,,10,4,,10,6,,2794,2626,,68.9,103.0,0.255,0.367,0.543,51.2,50.4,8.2,8.5,0.520,17.6,30.1,0.178,2023-2024
FDU,32,15,17,0.469,-14.41,-9.27,,9,7,,7,7,,8,9,,2430,2482,,73.6,104.6,0.318,0.397,0.548,51.7,54.6,9.8,8.8,0.520,17.0,30.4,0.221,2023-2024
Florida NCAA,36,24,12,0.667,15.17,8.81,,11,7,,14,1,,3,7,,3080,2851,,73.1,106.5,0.348,0.324,0.529,45.9,42.4,10.1,9.4,0.493,12.6,28.8,0.248,2023-2024
Florida A&M,29,6,23,0.207,-15.82,-4.19,,4,14,,4,8,,2,14,,1949,2240,,69.9,108.6,0.395,0.361,0.544,51.4,48.6,11.7,9.3,0.514,14.0,31.4,0.266,2023-2024
Florida Atlantic NCAA,34,25,9,0.735,13.26,4.61,,14,4,,13,1,,5,5,,2789,2495,,69.1,103.9,0.273,0.361,0.527,47.2,39.0,8.5,6.6,0.496,14.3,29.2,0.198,2023-2024
Florida Gulf Coast,32,14,18,0.438,-6.28,-3.94,,8,8,,9,5,,4,10,,2253,2276,,65.6,108.0,0.278,0.429,0.545,48.7,51.9,9.6,7.3,0.520,13.7,28.2,0.194,2023-2024
Florida International,33,11,22,0.333,-8.01,-2.17,,5,11,,9,6,,1,12,,2429,2525,,72.1,105.8,0.363,0.360,0.574,55.1,54.9,9.8,9.9,0.546,20.6,35.9,0.254,2023-2024
Florida State,33,17,16,0.515,9.52,9.27,,10,10,,10,7,,4,7,,2526,2518,,72.2,105.3,0.410,0.382,0.557,52.5,48.4,7.8,7.2,0.522,17.9,32.8,0.288,2023-2024
Fordham,33,13,20,0.394,-0.46,1.48,,6,12,,6,11,,4,6,,2325,2389,,69.3,102.5,0.451,0.310,0.548,49.3,50.2,9.7,11.0,0.504,17.4,27.4,0.323,2023-2024
Fresno State,33,12,21,0.364,-3.29,3.50,,4,14,,7,9,,3,9,,2233,2439,,66.0,110.3,0.275,0.370,0.553,52.5,49.9,9.1,11.5,0.530,13.6,30.5,0.189,2023-2024
Furman,33,17,16,0.515,0.21,-1.93,,10,8,,12,3,,4,10,,2623,2506,,71.2,105.0,0.276,0.348,0.544,48.7,49.5,9.6,11.1,0.521,14.7,26.4,0.188,2023-2024
Gardner-Webb,33,17,16,0.515,-4.66,-1.73,,11,5,,9,4,,6,8,,2426,2414,,70.2,103.0,0.375,0.346,0.530,48.8,46.5,8.4,9.2,0.491,14.2,25.9,0.266,2023-2024
George Mason,32,20,12,0.625,6.36,1.85,,9,9,,14,3,,5,7,,2273,2109,,65.0,101.3,0.312,0.420,0.513,46.7,51.6,10.4,10.6,0.477,14.3,27.5,0.224,2023-2024
